2022-11-28 14:41:16,991 - DEBUG - time: 5.7, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,011 - DEBUG - time: 5.8, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,027 - DEBUG - time: 5.8, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,032 - DEBUG - time: 5.8, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,037 - DEBUG - time: 5.8, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,172 - DEBUG - time: 5.9, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,177 - DEBUG - time: 5.9, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,195 - DEBUG - time: 5.9, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,198 - DEBUG - time: 5.9, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,218 - DEBUG - time: 6.0, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,233 - DEBUG - time: 6.0, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,237 - DEBUG - time: 6.0, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,241 - DEBUG - time: 6.0, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,259 - DEBUG - time: 6.1, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,263 - DEBUG - time: 6.1, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,278 - DEBUG - time: 6.1, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,283 - DEBUG - time: 6.1, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,302 - DEBUG - time: 6.2, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,317 - DEBUG - time: 6.2, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,320 - DEBUG - time: 6.2, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,324 - DEBUG - time: 6.2, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,343 - DEBUG - time: 6.3, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,347 - DEBUG - time: 6.3, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:17,362 - DEBUG - time: 6.3, id: 2, could change: False, False, state: ([], []), ([], []), False, False
