x: 1.0, y: 0.0, v: 10.0, theta: 0.0
[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 12.999799993333378, 13.998000173413793, 14.990805935007199, 15.970859259154988, 16.926151374582997, 17.839120260939477, 18.686097210989278, 19.43733186156532, 20.05788123894411, 20.509673900158315, 20.79398344098729, 20.92157862274602, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638]
----- y -----
[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019999333253328835, 0.07996932981348884, 0.19970537178472242, 0.39844007390507963, 0.6941036905390507, 1.1021328715359557, 1.633762485162153, 2.293797711323526, 3.077965085188822, 3.9700880538837127, 4.928820594790517, 5.92064692514879, 6.920571463604506, 7.920571463604506, 8.920571463604507, 9.920571463604507, 10.920571463604507, 11.920571463604507, 12.920571463604507, 13.920571463604507, 14.920571463604507, 15.920571463604507, 16.920571463604507, 17.920571463604507, 18.920571463604507, 19.920571463604507, 20.920571463604507]
----- point_matrix -----
[[0.00000000e+00 0.00000000e+00]
 [1.00000000e+00 0.00000000e+00]
 [2.00000000e+00 0.00000000e+00]
 [3.00000000e+00 0.00000000e+00]
 [4.00000000e+00 0.00000000e+00]
 [5.00000000e+00 0.00000000e+00]
 [6.00000000e+00 0.00000000e+00]
 [7.00000000e+00 0.00000000e+00]
 [8.00000000e+00 0.00000000e+00]
 [9.00000000e+00 0.00000000e+00]
 [1.00000000e+01 0.00000000e+00]
 [1.10000000e+01 0.00000000e+00]
 [1.20000000e+01 0.00000000e+00]
 [1.29998000e+01 1.99993333e-02]
 [1.39980002e+01 7.99693298e-02]
 [1.49908059e+01 1.99705372e-01]
 [1.59708593e+01 3.98440074e-01]
 [1.69261514e+01 6.94103691e-01]
 [1.78391203e+01 1.10213287e+00]
 [1.86860972e+01 1.63376249e+00]
 [1.94373319e+01 2.29379771e+00]
 [2.00578812e+01 3.07796509e+00]
 [2.05096739e+01 3.97008805e+00]
 [2.07939834e+01 4.92882059e+00]
 [2.09215786e+01 5.92064693e+00]
 [2.09092938e+01 6.92057146e+00]
 [2.09092938e+01 7.92057146e+00]
 [2.09092938e+01 8.92057146e+00]
 [2.09092938e+01 9.92057146e+00]
 [2.09092938e+01 1.09205715e+01]
 [2.09092938e+01 1.19205715e+01]
 [2.09092938e+01 1.29205715e+01]
 [2.09092938e+01 1.39205715e+01]
 [2.09092938e+01 1.49205715e+01]
 [2.09092938e+01 1.59205715e+01]
 [2.09092938e+01 1.69205715e+01]
 [2.09092938e+01 1.79205715e+01]
 [2.09092938e+01 1.89205715e+01]
 [2.09092938e+01 1.99205715e+01]
 [2.09092938e+01 2.09205715e+01]]
----- time_matrix -----
[[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.00000000e+00 1.00000000e-01 1.00000000e-02 1.00000000e-03
  1.00000000e-04 1.00000000e-05 1.00000000e-06 1.00000000e-07
  1.00000000e-08 1.00000000e-09 1.00000000e-10 1.00000000e-11
  1.00000000e-12 1.00000000e-13 1.00000000e-14 1.00000000e-15
  1.00000000e-16 1.00000000e-17 1.00000000e-18 1.00000000e-19]
 [1.00000000e+00 2.00000000e-01 4.00000000e-02 8.00000000e-03
  1.60000000e-03 3.20000000e-04 6.40000000e-05 1.28000000e-05
  2.56000000e-06 5.12000000e-07 1.02400000e-07 2.04800000e-08
  4.09600000e-09 8.19200000e-10 1.63840000e-10 3.27680000e-11
  6.55360000e-12 1.31072000e-12 2.62144000e-13 5.24288000e-14]
 [1.00000000e+00 3.00000000e-01 9.00000000e-02 2.70000000e-02
  8.10000000e-03 2.43000000e-03 7.29000000e-04 2.18700000e-04
  6.56100000e-05 1.96830000e-05 5.90490000e-06 1.77147000e-06
  5.31441000e-07 1.59432300e-07 4.78296900e-08 1.43489070e-08
  4.30467210e-09 1.29140163e-09 3.87420489e-10 1.16226147e-10]
 [1.00000000e+00 4.00000000e-01 1.60000000e-01 6.40000000e-02
  2.56000000e-02 1.02400000e-02 4.09600000e-03 1.63840000e-03
  6.55360000e-04 2.62144000e-04 1.04857600e-04 4.19430400e-05
  1.67772160e-05 6.71088640e-06 2.68435456e-06 1.07374182e-06
  4.29496730e-07 1.71798692e-07 6.87194767e-08 2.74877907e-08]
 [1.00000000e+00 5.00000000e-01 2.50000000e-01 1.25000000e-01
  6.25000000e-02 3.12500000e-02 1.56250000e-02 7.81250000e-03
  3.90625000e-03 1.95312500e-03 9.76562500e-04 4.88281250e-04
  2.44140625e-04 1.22070312e-04 6.10351562e-05 3.05175781e-05
  1.52587891e-05 7.62939453e-06 3.81469727e-06 1.90734863e-06]
 [1.00000000e+00 6.00000000e-01 3.60000000e-01 2.16000000e-01
  1.29600000e-01 7.77600000e-02 4.66560000e-02 2.79936000e-02
  1.67961600e-02 1.00776960e-02 6.04661760e-03 3.62797056e-03
  2.17678234e-03 1.30606940e-03 7.83641641e-04 4.70184985e-04
  2.82110991e-04 1.69266594e-04 1.01559957e-04 6.09359740e-05]
 [1.00000000e+00 7.00000000e-01 4.90000000e-01 3.43000000e-01
  2.40100000e-01 1.68070000e-01 1.17649000e-01 8.23543000e-02
  5.76480100e-02 4.03536070e-02 2.82475249e-02 1.97732674e-02
  1.38412872e-02 9.68890104e-03 6.78223073e-03 4.74756151e-03
  3.32329306e-03 2.32630514e-03 1.62841360e-03 1.13988952e-03]
 [1.00000000e+00 8.00000000e-01 6.40000000e-01 5.12000000e-01
  4.09600000e-01 3.27680000e-01 2.62144000e-01 2.09715200e-01
  1.67772160e-01 1.34217728e-01 1.07374182e-01 8.58993459e-02
  6.87194767e-02 5.49755814e-02 4.39804651e-02 3.51843721e-02
  2.81474977e-02 2.25179981e-02 1.80143985e-02 1.44115188e-02]
 [1.00000000e+00 9.00000000e-01 8.10000000e-01 7.29000000e-01
  6.56100000e-01 5.90490000e-01 5.31441000e-01 4.78296900e-01
  4.30467210e-01 3.87420489e-01 3.48678440e-01 3.13810596e-01
  2.82429536e-01 2.54186583e-01 2.28767925e-01 2.05891132e-01
  1.85302019e-01 1.66771817e-01 1.50094635e-01 1.35085172e-01]
 [1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
  1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
  1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
  1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
  1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]
 [1.00000000e+00 1.10000000e+00 1.21000000e+00 1.33100000e+00
  1.46410000e+00 1.61051000e+00 1.77156100e+00 1.94871710e+00
  2.14358881e+00 2.35794769e+00 2.59374246e+00 2.85311671e+00
  3.13842838e+00 3.45227121e+00 3.79749834e+00 4.17724817e+00
  4.59497299e+00 5.05447028e+00 5.55991731e+00 6.11590904e+00]
 [1.00000000e+00 1.20000000e+00 1.44000000e+00 1.72800000e+00
  2.07360000e+00 2.48832000e+00 2.98598400e+00 3.58318080e+00
  4.29981696e+00 5.15978035e+00 6.19173642e+00 7.43008371e+00
  8.91610045e+00 1.06993205e+01 1.28391846e+01 1.54070216e+01
  1.84884259e+01 2.21861111e+01 2.66233333e+01 3.19479999e+01]
 [1.00000000e+00 1.30000000e+00 1.69000000e+00 2.19700000e+00
  2.85610000e+00 3.71293000e+00 4.82680900e+00 6.27485170e+00
  8.15730721e+00 1.06044994e+01 1.37858492e+01 1.79216039e+01
  2.32980851e+01 3.02875107e+01 3.93737639e+01 5.11858930e+01
  6.65416609e+01 8.65041592e+01 1.12455407e+02 1.46192029e+02]
 [1.00000000e+00 1.40000000e+00 1.96000000e+00 2.74400000e+00
  3.84160000e+00 5.37824000e+00 7.52953600e+00 1.05413504e+01
  1.47578906e+01 2.06610468e+01 2.89254655e+01 4.04956517e+01
  5.66939124e+01 7.93714773e+01 1.11120068e+02 1.55568096e+02
  2.17795334e+02 3.04913467e+02 4.26878854e+02 5.97630396e+02]
 [1.00000000e+00 1.50000000e+00 2.25000000e+00 3.37500000e+00
  5.06250000e+00 7.59375000e+00 1.13906250e+01 1.70859375e+01
  2.56289063e+01 3.84433594e+01 5.76650391e+01 8.64975586e+01
  1.29746338e+02 1.94619507e+02 2.91929260e+02 4.37893890e+02
  6.56840836e+02 9.85261253e+02 1.47789188e+03 2.21683782e+03]
 [1.00000000e+00 1.60000000e+00 2.56000000e+00 4.09600000e+00
  6.55360000e+00 1.04857600e+01 1.67772160e+01 2.68435456e+01
  4.29496730e+01 6.87194767e+01 1.09951163e+02 1.75921860e+02
  2.81474977e+02 4.50359963e+02 7.20575940e+02 1.15292150e+03
  1.84467441e+03 2.95147905e+03 4.72236648e+03 7.55578637e+03]
 [1.00000000e+00 1.70000000e+00 2.89000000e+00 4.91300000e+00
  8.35210000e+00 1.41985700e+01 2.41375690e+01 4.10338673e+01
  6.97575744e+01 1.18587876e+02 2.01599390e+02 3.42718963e+02
  5.82622237e+02 9.90457803e+02 1.68377827e+03 2.86242305e+03
  4.86611919e+03 8.27240262e+03 1.40630845e+04 2.39072436e+04]
 [1.00000000e+00 1.80000000e+00 3.24000000e+00 5.83200000e+00
  1.04976000e+01 1.88956800e+01 3.40122240e+01 6.12220032e+01
  1.10199606e+02 1.98359290e+02 3.57046723e+02 6.42684101e+02
  1.15683138e+03 2.08229649e+03 3.74813368e+03 6.74664062e+03
  1.21439531e+04 2.18591156e+04 3.93464081e+04 7.08235345e+04]
 [1.00000000e+00 1.90000000e+00 3.61000000e+00 6.85900000e+00
  1.30321000e+01 2.47609900e+01 4.70458810e+01 8.93871739e+01
  1.69835630e+02 3.22687698e+02 6.13106626e+02 1.16490259e+03
  2.21331492e+03 4.20529835e+03 7.99006686e+03 1.51811270e+04
  2.88441414e+04 5.48038686e+04 1.04127350e+05 1.97841966e+05]
 [1.00000000e+00 2.00000000e+00 4.00000000e+00 8.00000000e+00
  1.60000000e+01 3.20000000e+01 6.40000000e+01 1.28000000e+02
  2.56000000e+02 5.12000000e+02 1.02400000e+03 2.04800000e+03
  4.09600000e+03 8.19200000e+03 1.63840000e+04 3.27680000e+04
  6.55360000e+04 1.31072000e+05 2.62144000e+05 5.24288000e+05]
 [1.00000000e+00 2.10000000e+00 4.41000000e+00 9.26100000e+00
  1.94481000e+01 4.08410100e+01 8.57661210e+01 1.80108854e+02
  3.78228594e+02 7.94280047e+02 1.66798810e+03 3.50277501e+03
  7.35582751e+03 1.54472378e+04 3.24391993e+04 6.81223186e+04
  1.43056869e+05 3.00419425e+05 6.30880792e+05 1.32484966e+06]
 [1.00000000e+00 2.20000000e+00 4.84000000e+00 1.06480000e+01
  2.34256000e+01 5.15363200e+01 1.13379904e+02 2.49435789e+02
  5.48758735e+02 1.20726922e+03 2.65599228e+03 5.84318301e+03
  1.28550026e+04 2.82810058e+04 6.22182127e+04 1.36880068e+05
  3.01136150e+05 6.62499529e+05 1.45749896e+06 3.20649772e+06]
 [1.00000000e+00 2.30000000e+00 5.29000000e+00 1.21670000e+01
  2.79841000e+01 6.43634300e+01 1.48035889e+02 3.40482545e+02
  7.83109853e+02 1.80115266e+03 4.14265112e+03 9.52809758e+03
  2.19146244e+04 5.04036362e+04 1.15928363e+05 2.66635235e+05
  6.13261042e+05 1.41050040e+06 3.24415091e+06 7.46154709e+06]
 [1.00000000e+00 2.40000000e+00 5.76000000e+00 1.38240000e+01
  3.31776000e+01 7.96262400e+01 1.91102976e+02 4.58647142e+02
  1.10075314e+03 2.64180754e+03 6.34033810e+03 1.52168114e+04
  3.65203474e+04 8.76488338e+04 2.10357201e+05 5.04857283e+05
  1.21165748e+06 2.90797795e+06 6.97914708e+06 1.67499530e+07]
 [1.00000000e+00 2.50000000e+00 6.25000000e+00 1.56250000e+01
  3.90625000e+01 9.76562500e+01 2.44140625e+02 6.10351563e+02
  1.52587891e+03 3.81469727e+03 9.53674316e+03 2.38418579e+04
  5.96046448e+04 1.49011612e+05 3.72529030e+05 9.31322575e+05
  2.32830644e+06 5.82076609e+06 1.45519152e+07 3.63797881e+07]
 [1.00000000e+00 2.60000000e+00 6.76000000e+00 1.75760000e+01
  4.56976000e+01 1.18813760e+02 3.08915776e+02 8.03181018e+02
  2.08827065e+03 5.42950368e+03 1.41167096e+04 3.67034449e+04
  9.54289567e+04 2.48115287e+05 6.45099747e+05 1.67725934e+06
  4.36087429e+06 1.13382732e+07 2.94795102e+07 7.66467265e+07]
 [1.00000000e+00 2.70000000e+00 7.29000000e+00 1.96830000e+01
  5.31441000e+01 1.43489070e+02 3.87420489e+02 1.04603532e+03
  2.82429536e+03 7.62559748e+03 2.05891132e+04 5.55906057e+04
